file,n6_score,unique_n6_constants,keyword_hits,top_matches,suggested_grade
245-137-physical-derivation.md,117,8,21,n=6; sigma+mu=13; sigma-sopfr=7; sigma-tau=8; sigma/sigma-phi=1.2; sigma=12; sigma^2=144; sopfr=5,STRONG_CANDIDATE
H-UD-4-ramsey-perfect-bridge.md,115,8,24,ln(4/3)=0.288; n=6; sigma*(sigma-phi)=120; sigma-phi=10; sigma-sopfr=7; sigma-tau=8; sigma=12; sopfr=5,STRONG_CANDIDATE
H-CX-477-uap-propulsion.md,114,5,39,J2-tau=20; n=6; sigma-sopfr=7; sigma=12; sopfr=5,STRONG_CANDIDATE
H-UD-3-crystallographic-restriction.md,110,9,25,n=6; sigma*(sigma-phi)=120; sigma*n=72; sigma*sopfr=60; sigma-mu=11; sigma-phi=10; sigma-sopfr=7; sigma-tau=8; sopfr=5,STRONG_CANDIDATE
H-UD-6-theta-gamma-coupling.md,110,8,16,J2-tau=20; n=6; phi/tau=0.5; sigma+mu=13; sigma-phi=10; sigma-sopfr=7; sigma-tau=8; sopfr=5,STRONG_CANDIDATE
H-EE-6-tensor-aligned-hcn.md,109,13,1,J2-tau=20; J2=24; n=6; phi^n=64; sigma*(sigma-phi)=120; sigma*sopfr=60; sigma*tau=48; sigma-mu=11; sigma-phi=10; sigma-sopfr=7; sigma-tau=8; sigma=12; sopfr=5,STRONG_CANDIDATE
H-EE-59-fine-structure-constant.md,109,6,41,n=6; sigma*sopfr=60; sigma-mu=11; sigma=12; sigma^2=144; sopfr=5,STRONG_CANDIDATE
H-CX-153-n-ln-sequence.md,108,11,29,1/(sigma-phi)=0.1; ln(4/3)=0.288; n=6; sigma*(sigma-phi)=120; sigma+mu=13; sigma-mu=11; sigma-phi=10; sigma-sopfr=7; sigma-tau=8; sigma=12; sopfr=5,STRONG_CANDIDATE
H-SIM-2-planck-units-grid-resolution.md,107,9,28,ln(4/3)=0.288; n=6; sigma*sopfr=60; sigma*tau=48; sigma+mu=13; sigma-phi=10; sigma-sopfr=7; sigma=12; sopfr=5,STRONG_CANDIDATE
ANIMA-consciousness-map-n6-connection.md,106,5,29,n=6; phi/tau=0.5; sigma-sopfr=7; sigma-tau=8; sopfr=5,STRONG_CANDIDATE
H-EE-7-head-dim-diversity.md,105,11,1,J2-tau=20; J2=24; n=6; phi^n=64; sigma*(sigma-phi)=120; sigma*sopfr=60; sigma-phi=10; sigma-sopfr=7; sigma-tau=8; sigma=12; sopfr=5,STRONG_CANDIDATE
250-quantum-precision-constants.md,104,12,1,n=6; phi/tau=0.5; sigma*(sigma-phi)=120; sigma*n=72; sigma*sopfr=60; sigma-mu=11; sigma-phi=10; sigma-sopfr=7; sigma-tau=8; sigma/sigma-phi=1.2; sigma=12; sopfr=5,STRONG_CANDIDATE
H-SEDI-2-fermion-mass-tower.md,99,12,17,1/(sigma-phi)=0.1; ln(4/3)=0.288; n=6; phi/tau=0.5; sigma*(sigma-phi)=120; sigma*tau=48; sigma-mu=11; sigma-phi=10; sigma-tau=8; sigma=12; sigma^2=144; sopfr=5,STRONG_CANDIDATE
393-ttx-thc-duality-consciousness.md,98,12,0,1/(sigma-phi)=0.1; 1/e=0.368; 16/27_Betz; ln(4/3)=0.288; n=6; phi/tau=0.5; sigma-phi=10; sigma-sopfr=7; sigma-tau=8; sigma/sigma-phi=1.2; sopfr=5; tau^2/sigma=4/3,STRONG_CANDIDATE
381-obang-compass-five-sixths.md,98,6,22,1/(sigma-phi)=0.1; 16/27_Betz; n=6; phi/tau=0.5; sigma=12; sopfr=5,STRONG_CANDIDATE
BREAKTHROUGH-genetic-code-KKT.md,97,11,23,1/e=0.368; J2-tau=20; J2=24; ln(4/3)=0.288; n=6; phi^n=64; sigma-mu=11; sigma-sopfr=7; sigma-tau=8; sigma=12; sopfr=5,STRONG_CANDIDATE
H-EE-78-noble-gas-electrons.md,93,5,25,n=6; sigma-phi=10; sigma-tau=8; sigma=12; sopfr=5,STRONG_CANDIDATE
H-EE-86-alpha-wave-10hz.md,93,5,27,n=6; sigma+mu=13; sigma-phi=10; sigma-tau=8; sopfr=5,STRONG_CANDIDATE
H-EE-119-optimal-document-size.md,92,5,18,J2=24; n=6; sigma*(sigma-phi)=120; sigma=12; sigma^2=144,STRONG_CANDIDATE
H-ROB-5-mitosis-swarm-fission.md,90,9,16,1/(sigma-phi)=0.1; 1/e=0.368; J2-tau=20; n=6; phi/tau=0.5; sigma-phi=10; sigma-tau=8; sigma=12; sopfr=5,STRONG_CANDIDATE
H-EE-68-dark-matter.md,90,5,30,ln(4/3)=0.288; n=6; phi/tau=0.5; sigma=12; sopfr=5,STRONG_CANDIDATE
396-ttx-consciousness-quantization.md,88,11,3,1/(sigma-phi)=0.1; 16/27_Betz; J2-tau=20; ln(4/3)=0.288; n=6; phi/tau=0.5; sigma-phi=10; sigma-sopfr=7; sigma-tau=8; sigma=12; sopfr=5,STRONG_CANDIDATE
H-CX-155-sigma-phi-full-scan.md,88,10,28,1/(sigma-phi)=0.1; n=6; phi/tau=0.5; sigma+mu=13; sigma-mu=11; sigma-sopfr=7; sigma-tau=8; sigma=12; sopfr=5; tau^2/sigma=4/3,STRONG_CANDIDATE
H-COIN-ethereum-n6.md,88,6,31,n=6; sigma-phi=10; sigma-sopfr=7; sigma-tau=8; sigma=12; sopfr=5,STRONG_CANDIDATE
019-golden-moe-performance.md,87,15,4,1/(sigma-phi)=0.1; 1/e=0.368; 16/27_Betz; J2-tau=20; J2=24; ln(4/3)=0.288; n=6; phi/tau=0.5; sigma+mu=13; sigma-mu=11; sigma-phi=10; sigma-sopfr=7; sigma-tau=8; sigma=12; sopfr=5,STRONG_CANDIDATE
H-CX-453-convergence-map.md,87,12,16,1/e=0.368; J2-tau=20; ln(4/3)=0.288; n=6; phi/tau=0.5; sigma-mu=11; sigma-phi=10; sigma-sopfr=7; sigma-tau=8; sigma/sigma-phi=1.2; sigma=12; sopfr=5,STRONG_CANDIDATE
H-CX-418-carbon-R-optimality.md,86,11,15,J2-tau=20; J2=24; n=6; sigma*tau=48; sigma+mu=13; sigma-mu=11; sigma-phi=10; sigma-sopfr=7; sigma-tau=8; sigma=12; sopfr=5,STRONG_CANDIDATE
H-UD-8-hexagonal-tiling-honeycomb.md,86,7,19,n=6; sigma*(sigma-phi)=120; sigma*sopfr=60; sigma-sopfr=7; sigma-tau=8; sigma=12; sopfr=5,STRONG_CANDIDATE
H-HAIR-121-180-epigenetics-microbiome-personalized.md,86,6,5,J2=24; n=6; sigma*sopfr=60; sigma-tau=8; sigma=12; sopfr=5,STRONG_CANDIDATE
H-EE-62-musical-harmony.md,84,3,27,n=6; sigma=12; sopfr=5,MODERATE
EXTREME-ralph-iterations.md,83,8,11,J2=24; n=6; sigma-phi=10; sigma-sopfr=7; sigma-tau=8; sigma=12; sigma^2=144; sopfr=5,STRONG_CANDIDATE
379-obang-pentagon-golden-ratio.md,81,9,2,1/e=0.368; ln(4/3)=0.288; n=6; phi/tau=0.5; sigma*n=72; sigma-phi=10; sigma-sopfr=7; sigma-tau=8; sopfr=5,STRONG_CANDIDATE
H-CX-7-sigma-phi-architecture-optimality.md,80,6,27,J2=24; n=6; sigma-phi=10; sigma-sopfr=7; sigma-tau=8; sigma=12,STRONG_CANDIDATE
H-EE-111-variational-principle.md,80,3,29,n=6; sigma-sopfr=7; sigma=12,MODERATE
204-ph-inhibition.md,74,14,0,1/(sigma-phi)=0.1; 1/e=0.368; 16/27_Betz; J2=24; ln(4/3)=0.288; n=6; phi/tau=0.5; sigma+mu=13; sigma-mu=11; sigma-phi=10; sigma-sopfr=7; sigma-tau=8; sigma=12; sopfr=5,STRONG_CANDIDATE
BREAKTHROUGH-five-strategies.md,74,8,10,J2=24; n=6; sigma*(sigma-phi)=120; sigma-phi=10; sigma-sopfr=7; sigma-tau=8; sigma=12; sopfr=5,STRONG_CANDIDATE
THEOREM-consecutive-prime-factorial.md,74,8,11,J2=24; n=6; sigma*(sigma-phi)=120; sigma-phi=10; sigma-sopfr=7; sigma-tau=8; sigma=12; sopfr=5,STRONG_CANDIDATE
H-CX-447-moe-expert-perfect-structure.md,73,6,16,J2-tau=20; J2=24; n=6; sigma-phi=10; sigma-tau=8; sigma=12,STRONG_CANDIDATE
H-EE-110-cultural-bias.md,72,7,16,J2=24; n=6; sigma*sopfr=60; sigma-phi=10; sigma-sopfr=7; sigma=12; sopfr=5,STRONG_CANDIDATE
H-ROB-11-silent-consensus-distributed.md,72,7,16,J2-tau=20; n=6; sigma-mu=11; sigma-phi=10; sigma-sopfr=7; sigma=12; sopfr=5,STRONG_CANDIDATE
354-color-hexagonal-architecture.md,72,5,11,n=6; sigma*(sigma-phi)=120; sigma*sopfr=60; sigma-phi=10; sopfr=5,STRONG_CANDIDATE
H-CX-168-thirteen-observation-limit.md,72,5,5,J2-tau=20; n=6; sigma+mu=13; sigma=12; sopfr=5,STRONG_CANDIDATE
H-EE-72-why-something.md,71,7,21,J2=24; n=6; sigma*n=72; sigma-sopfr=7; sigma-tau=8; sigma=12; sopfr=5,STRONG_CANDIDATE
H-EE-15-jordan-leech-moe.md,71,6,16,J2=24; n=6; sigma*(sigma-phi)=120; sigma*tau=48; sigma-tau=8; sigma=12,STRONG_CANDIDATE
H-EE-83-optimal-team-size.md,71,6,17,n=6; sigma-phi=10; sigma-sopfr=7; sigma-tau=8; sigma=12; sopfr=5,STRONG_CANDIDATE
H-SEDI-3-weinberg-angle-three-thirteenths.md,70,6,28,J2-tau=20; ln(4/3)=0.288; n=6; sigma+mu=13; sigma=12; sopfr=5,STRONG_CANDIDATE
H-SEDI-5-fine-structure-137.md,70,6,15,n=6; sigma-phi=10; sigma-sopfr=7; sigma-tau=8; sigma=12; sopfr=5,STRONG_CANDIDATE
H-EE-105-beyond-mathematics.md,70,3,21,J2=24; n=6; sigma=12,MODERATE
H-EE-91-second-perfect-number.md,70,3,24,n=6; sigma-sopfr=7; sigma=12,MODERATE
BRIDGE-004-golden-zone-quantum-gravity.md,69,7,9,1/(sigma-phi)=0.1; 1/e=0.368; 16/27_Betz; ln(4/3)=0.288; n=6; phi/tau=0.5; sopfr=5,STRONG_CANDIDATE
H-CX-9-topology-seven-phases.md,69,4,24,n=6; sigma-sopfr=7; sigma-tau=8; sopfr=5,MODERATE
H-EE-75-goldbach-fixed-point.md,69,1,23,n=6,WEAK
395-dolphin-circle-topology-h1.md,67,11,11,1/(sigma-phi)=0.1; 1/e=0.368; n=6; phi/tau=0.5; sigma*n=72; sigma*sopfr=60; sigma-phi=10; sigma-sopfr=7; sigma-tau=8; sigma=12; sopfr=5,STRONG_CANDIDATE
H-COIN-bitcoin-n6.md,66,7,20,n=6; sigma*n=72; sigma*sopfr=60; sigma-phi=10; sigma-tau=8; sigma=12; sopfr=5,STRONG_CANDIDATE
H-EE-107-confirmation-bias.md,65,7,18,ln(4/3)=0.288; n=6; sigma*(sigma-phi)=120; sigma-phi=10; sigma=12; sopfr=5; tau^2/sigma=4/3,STRONG_CANDIDATE
H-CX-430-mitosis-coproduct.md,65,5,11,1/e=0.368; 16/27_Betz; ln(4/3)=0.288; n=6; sopfr=5,STRONG_CANDIDATE
H-EE-74-twin-prime-constant.md,65,5,23,1/e=0.368; n=6; phi/tau=0.5; sigma=12; sopfr=5,STRONG_CANDIDATE
H-EE-81-dunbar-number.md,65,5,20,J2=24; n=6; sigma*tau=48; sigma=12; sigma^2=144,STRONG_CANDIDATE
H-EE-5-r-spectrum-training-efficiency.md,64,17,8,1/(sigma-phi)=0.1; 1/e=0.368; J2-tau=20; J2=24; ln(4/3)=0.288; n=6; phi/tau=0.5; phi^n=64; sigma*(sigma-phi)=120; sigma*sopfr=60; sigma+mu=13; sigma-mu=11; sigma-phi=10; sigma-sopfr=7; sigma-tau=8; sigma=12; sopfr=5,STRONG_CANDIDATE
349-axis-reversal-transition.md,64,15,0,1/(sigma-phi)=0.1; 16/27_Betz; J2-tau=20; ln(4/3)=0.288; n=6; phi/tau=0.5; sigma*sopfr=60; sigma+mu=13; sigma-mu=11; sigma-phi=10; sigma-sopfr=7; sigma-tau=8; sigma/sigma-phi=1.2; sigma=12; sopfr=5,STRONG_CANDIDATE
H-EE-79-carbon-is-six.md,64,2,19,n=6; sigma=12,WEAK
H-EE-102-qec-rate-third.md,63,8,19,1/(sigma-phi)=0.1; 1/e=0.368; ln(4/3)=0.288; n=6; phi/tau=0.5; sigma-sopfr=7; sigma=12; sopfr=5,STRONG_CANDIDATE
H-EE-95-alpha-failure.md,63,4,26,n=6; sigma-mu=11; sigma=12; sopfr=5,MODERATE
H-EE-87-gamma-wave.md,62,9,22,n=6; phi^n=64; sigma*n=72; sigma*sopfr=60; sigma*tau=48; sigma-tau=8; sigma=12; sigma^2=144; sopfr=5,STRONG_CANDIDATE
H-EE-70-quantum-entanglement-channels.md,62,2,16,n=6; sopfr=5,WEAK
376-structural-growth-via-mitosis.md,61,5,11,1/(sigma-phi)=0.1; n=6; sigma-tau=8; sigma=12; sopfr=5,STRONG_CANDIDATE
H-EE-14-dedekind-head-pruning.md,61,5,15,n=6; phi^n=64; sigma*(sigma-phi)=120; sigma-tau=8; sigma=12,STRONG_CANDIDATE
384-obang-fermat-primes.md,60,4,0,1/(sigma-phi)=0.1; sigma-phi=10; sigma-tau=8; sopfr=5,MODERATE
H-EE-73-riemann-critical-line.md,60,4,17,n=6; phi/tau=0.5; sigma=12; sopfr=5,MODERATE
H-MED-007-deep-eeg-spectral.md,59,11,5,1/e=0.368; J2-tau=20; ln(4/3)=0.288; n=6; phi/tau=0.5; sigma*sopfr=60; sigma-sopfr=7; sigma-tau=8; sigma/sigma-phi=1.2; sigma=12; sopfr=5,STRONG_CANDIDATE
ODE-001-painleve-golay-lorentz.md,59,6,16,J2=24; n=6; sigma-phi=10; sigma-sopfr=7; sigma-tau=8; sigma=12,STRONG_CANDIDATE
H-EE-85-five-brain-bands.md,59,5,14,n=6; phi/tau=0.5; sigma+mu=13; sigma-tau=8; sopfr=5,STRONG_CANDIDATE
H-SEDI-7-takens-dim6-optimal.md,59,5,2,n=6; sigma-phi=10; sigma-sopfr=7; sigma-tau=8; sopfr=5,STRONG_CANDIDATE
H-EE-41-string-theory-dimensions.md,59,4,17,n=6; sigma-mu=11; sigma-phi=10; sopfr=5,MODERATE
H-EE-67-corrigibility.md,59,2,20,n=6; sopfr=5,WEAK
H-EE-45-genetic-code.md,57,4,15,J2-tau=20; J2=24; n=6; phi^n=64,MODERATE
H-EE-84-protocol-layers.md,57,4,14,n=6; sigma-sopfr=7; sigma=12; sopfr=5,MODERATE
H-EE-94-finite-field-r-score.md,57,3,12,n=6; sigma=12; sopfr=5,MODERATE
nobel-level-predictions.md,56,14,8,1/e=0.368; J2-tau=20; J2=24; ln(4/3)=0.288; n=6; phi/tau=0.5; sigma*(sigma-phi)=120; sigma+mu=13; sigma-mu=11; sigma-phi=10; sigma-sopfr=7; sigma-tau=8; sigma=12; sopfr=5,STRONG_CANDIDATE
MEGA-001-p1plus1-universality.md,56,9,11,J2-tau=20; J2=24; n=6; sigma*sopfr=60; sigma-phi=10; sigma-sopfr=7; sigma-tau=8; sigma=12; sopfr=5,STRONG_CANDIDATE
386-obang-ohaeng-sangsaeng-sanggeuk.md,56,8,2,1/(sigma-phi)=0.1; 16/27_Betz; ln(4/3)=0.288; n=6; phi/tau=0.5; sigma-phi=10; sigma/sigma-phi=1.2; sopfr=5,STRONG_CANDIDATE
H-EE-104-discovery-inevitable.md,56,5,16,J2=24; n=6; sigma*sopfr=60; sigma-phi=10; sigma=12,STRONG_CANDIDATE
H-EE-109-math-not-physics.md,56,3,12,n=6; sigma=12; sopfr=5,MODERATE
H-EE-106-deeper-equation.md,56,2,20,n=6; sigma=12,WEAK
400-dolphin-thc-impossible-experiment.md,54,10,2,1/(sigma-phi)=0.1; 1/e=0.368; 16/27_Betz; J2-tau=20; ln(4/3)=0.288; n=6; phi/tau=0.5; phi^n=64; sigma-phi=10; sopfr=5,STRONG_CANDIDATE
H-CX-425-third-perfect-number-equation.md,54,8,10,J2=24; n=6; phi/tau=0.5; sigma-mu=11; sigma-phi=10; sigma-sopfr=7; sigma=12; sopfr=5,STRONG_CANDIDATE
H-CX-8-phase-acceleration-sigma-tau.md,54,6,19,J2=24; ln(4/3)=0.288; n=6; sigma-tau=8; sigma/sigma-phi=1.2; sigma=12,STRONG_CANDIDATE
H-EE-50-kolmogorov-self-description.md,54,2,18,n=6; sigma=12,WEAK
369-brainwave-frequency-bands.md,53,9,0,1/(sigma-phi)=0.1; J2-tau=20; ln(4/3)=0.288; n=6; phi/tau=0.5; sigma+mu=13; sigma-phi=10; sigma-tau=8; sopfr=5,STRONG_CANDIDATE
H-EE-82-civilization-cycles.md,52,9,17,J2-tau=20; J2=24; n=6; sigma*n=72; sigma*sopfr=60; sigma-mu=11; sigma-sopfr=7; sigma=12; sopfr=5,STRONG_CANDIDATE
H-EE-113-category-theory.md,52,5,12,n=6; sigma-phi=10; sigma-sopfr=7; sigma-tau=8; sopfr=5,STRONG_CANDIDATE
H-ARCH-crypto.md,51,8,15,J2-tau=20; J2=24; n=6; sigma-mu=11; sigma-phi=10; sigma-sopfr=7; sigma-tau=8; sopfr=5,STRONG_CANDIDATE
H-EE-46-atp-energy-quantum.md,50,4,14,1/e=0.368; ln(4/3)=0.288; n=6; sigma=12,MODERATE
H-CX-411-ph-bottleneck-information-bottleneck.md,49,13,0,1/(sigma-phi)=0.1; 1/e=0.368; 16/27_Betz; J2-tau=20; ln(4/3)=0.288; n=6; phi/tau=0.5; phi^n=64; sigma-phi=10; sigma-sopfr=7; sigma-tau=8; sigma/sigma-phi=1.2; sopfr=5,STRONG_CANDIDATE
H-EE-117-iterated-r-fixpoint.md,49,6,13,n=6; sigma*tau=48; sigma-phi=10; sigma-sopfr=7; sigma=12; sopfr=5,STRONG_CANDIDATE
H-ARCH-display.md,48,5,16,J2=24; n=6; sigma*sopfr=60; sigma-tau=8; sopfr=5,STRONG_CANDIDATE
392-dolphin-ttx-dual-consciousness.md,47,11,0,1/(sigma-phi)=0.1; 1/e=0.368; 16/27_Betz; ln(4/3)=0.288; n=6; phi/tau=0.5; sigma+mu=13; sigma-sopfr=7; sigma-tau=8; sigma^2=144; sopfr=5,STRONG_CANDIDATE
402-golden-moe-ph-routing.md,46,9,0,1/(sigma-phi)=0.1; 1/e=0.368; 16/27_Betz; ln(4/3)=0.288; n=6; phi/tau=0.5; sigma-phi=10; sigma-sopfr=7; sopfr=5,STRONG_CANDIDATE
H-CX-415-inter-tension-gauge-field.md,46,8,0,1/(sigma-phi)=0.1; J2-tau=20; n=6; phi/tau=0.5; sigma-phi=10; sigma-sopfr=7; sigma-tau=8; sopfr=5,STRONG_CANDIDATE
H-EE-76-monster-group.md,46,7,11,J2-tau=20; J2=24; n=6; sigma+mu=13; sigma-mu=11; sigma-sopfr=7; sopfr=5,STRONG_CANDIDATE
H-EE-80-four-bond-types.md,46,1,16,n=6,WEAK
H-EE-8-tau-predicts-performance.md,45,10,3,J2-tau=20; ln(4/3)=0.288; phi^n=64; sigma*(sigma-phi)=120; sigma*sopfr=60; sigma-mu=11; sigma-sopfr=7; sigma-tau=8; sigma=12; sopfr=5,STRONG_CANDIDATE
368-tension-natural-frequency.md,44,13,0,1/(sigma-phi)=0.1; 16/27_Betz; J2-tau=20; J2=24; ln(4/3)=0.288; n=6; phi/tau=0.5; phi^n=64; sigma-phi=10; sigma-sopfr=7; sigma-tau=8; sigma=12; sopfr=5,STRONG_CANDIDATE
391-dolphin-pufferfish-ttx-trance.md,44,13,0,1/(sigma-phi)=0.1; J2-tau=20; J2=24; ln(4/3)=0.288; n=6; phi/tau=0.5; sigma*sopfr=60; sigma+mu=13; sigma-phi=10; sigma-sopfr=7; sigma-tau=8; sigma^2=144; sopfr=5,STRONG_CANDIDATE
H-CX-412-ph-persistence-generalization-lifespan.md,44,11,1,1/(sigma-phi)=0.1; 1/e=0.368; 16/27_Betz; ln(4/3)=0.288; n=6; phi^n=64; sigma-phi=10; sigma-tau=8; sigma/sigma-phi=1.2; sopfr=5; tau^2/sigma=4/3,STRONG_CANDIDATE
387-obang-thc-five-element-modulation.md,44,9,0,1/(sigma-phi)=0.1; 1/e=0.368; 16/27_Betz; ln(4/3)=0.288; n=6; phi/tau=0.5; sigma-sopfr=7; sigma^2=144; sopfr=5,STRONG_CANDIDATE
399-human-ttx-fugu-consciousness.md,44,9,0,1/(sigma-phi)=0.1; 16/27_Betz; J2-tau=20; ln(4/3)=0.288; n=6; phi/tau=0.5; sigma-phi=10; sigma-tau=8; sopfr=5,STRONG_CANDIDATE
326-telepathy-displacement-sweep.md,43,9,0,1/(sigma-phi)=0.1; 16/27_Betz; J2-tau=20; ln(4/3)=0.288; n=6; phi/tau=0.5; sigma-mu=11; sigma-sopfr=7; sopfr=5,STRONG_CANDIDATE
H-SEDI-10-tension-rfilter-anomaly.md,43,8,8,1/e=0.368; ln(4/3)=0.288; n=6; phi/tau=0.5; sigma-phi=10; sigma-sopfr=7; sigma-tau=8; sopfr=5,STRONG_CANDIDATE
H-EE-120-completeness.md,43,6,11,J2=24; n=6; sigma*(sigma-phi)=120; sigma=12; sigma^2=144; sopfr=5,STRONG_CANDIDATE
327-golden-moe-tension-ppl.md,42,10,9,1/(sigma-phi)=0.1; 16/27_Betz; J2-tau=20; ln(4/3)=0.288; n=6; phi/tau=0.5; sigma+mu=13; sigma-phi=10; sigma=12; sopfr=5,STRONG_CANDIDATE
295-mitosis-tda-topology.md,42,9,0,J2-tau=20; n=6; sigma*(sigma-phi)=120; sigma*sopfr=60; sigma-mu=11; sigma-phi=10; sigma-sopfr=7; sigma=12; sopfr=5,STRONG_CANDIDATE
249-quantum-math-crossroads.md,42,7,0,1/(sigma-phi)=0.1; n=6; sigma-mu=11; sigma-phi=10; sigma-sopfr=7; sigma-tau=8; sopfr=5,STRONG_CANDIDATE
H-COMP-7-tcp-window.md,42,5,8,n=6; sigma-phi=10; sigma-sopfr=7; sigma=12; sopfr=5,STRONG_CANDIDATE
H-WAVE-3-string-harmonics-perfect-resonance.md,42,3,11,n=6; sigma=12; sopfr=5,MODERATE
H-EE-88-optimal-hypothesis-count.md,42,2,14,n=6; sigma=12,WEAK
NGH-012-phi-p2-sigma-p1-bridge.md,42,2,15,n=6; sigma=12,WEAK
405-animalm-expert-topological-specialization.md,41,13,0,1/(sigma-phi)=0.1; 1/e=0.368; ln(4/3)=0.288; n=6; phi/tau=0.5; sigma+mu=13; sigma-mu=11; sigma-phi=10; sigma-sopfr=7; sigma-tau=8; sigma/sigma-phi=1.2; sigma=12; sopfr=5,STRONG_CANDIDATE
H-SIM-6-wavefunction-collapse-lazy-evaluation.md,41,12,0,1/(sigma-phi)=0.1; 1/e=0.368; 16/27_Betz; J2=24; ln(4/3)=0.288; n=6; phi/tau=0.5; phi^n=64; sigma+mu=13; sigma-phi=10; sigma-tau=8; sopfr=5,STRONG_CANDIDATE
H-CX-426-zeta-sigma-pi-connection.md,41,8,1,16/27_Betz; ln(4/3)=0.288; n=6; sigma-phi=10; sigma-sopfr=7; sigma=12; sigma^2=144; sopfr=5,STRONG_CANDIDATE
H-EE-58-big-bang-phase-transition.md,41,5,11,n=6; sigma*sopfr=60; sigma-phi=10; sigma=12; sopfr=5,STRONG_CANDIDATE
H-ARCH-languages.md,41,3,11,n=6; sigma-tau=8; sopfr=5,MODERATE
H-CX-429-tension-morphism-complexity.md,40,10,0,1/(sigma-phi)=0.1; ln(4/3)=0.288; n=6; phi/tau=0.5; sigma+mu=13; sigma-sopfr=7; sigma-tau=8; sigma=12; sopfr=5; tau^2/sigma=4/3,STRONG_CANDIDATE
201-periodic-table-comparison.md,40,9,0,J2-tau=20; J2=24; n=6; sigma*sopfr=60; sigma+mu=13; sigma-phi=10; sigma-sopfr=7; sigma-tau=8; sopfr=5,STRONG_CANDIDATE
380-obang-five-senses-consciousness.md,40,7,0,1/e=0.368; ln(4/3)=0.288; n=6; sigma-phi=10; sigma-sopfr=7; sigma-tau=8; sopfr=5,STRONG_CANDIDATE
H-WAVE-7-qho-sixth-prime.md,40,6,6,n=6; sigma+mu=13; sigma-mu=11; sigma-sopfr=7; sigma-tau=8; sopfr=5,STRONG_CANDIDATE
H-EE-57-causal-light-cone.md,40,4,13,J2=24; n=6; sigma-phi=10; sigma-tau=8,MODERATE
H-EE-64-golden-ratio-analogy.md,40,3,16,n=6; phi^n=64; sopfr=5,MODERATE
219-prime-gap-golden-width.md,39,12,0,16/27_Betz; J2-tau=20; ln(4/3)=0.288; n=6; sigma+mu=13; sigma-mu=11; sigma-phi=10; sigma-sopfr=7; sigma-tau=8; sigma/sigma-phi=1.2; sopfr=5; tau^2/sigma=4/3,STRONG_CANDIDATE
244-universality-class.md,39,9,0,1/(sigma-phi)=0.1; 1/e=0.368; 16/27_Betz; ln(4/3)=0.288; n=6; phi/tau=0.5; sigma-phi=10; sigma-sopfr=7; sopfr=5,STRONG_CANDIDATE
247-dual-brain-callosum.md,39,8,0,1/(sigma-phi)=0.1; 1/e=0.368; 16/27_Betz; phi/tau=0.5; sigma-phi=10; sigma/sigma-phi=1.2; sigma=12; sopfr=5,STRONG_CANDIDATE
H-EE-114-arithmetic-multiverse.md,39,4,10,n=6; sigma-sopfr=7; sigma=12; sopfr=5,MODERATE
H-EE-77-periodic-table-periods.md,39,4,8,n=6; sigma-phi=10; sigma-sopfr=7; sigma-tau=8,MODERATE
H-EE-92-generalized-balance.md,39,3,14,J2=24; n=6; sigma^2=144,MODERATE
345-inverted-u-curve-form.md,38,9,2,1/(sigma-phi)=0.1; 16/27_Betz; ln(4/3)=0.288; n=6; phi/tau=0.5; sigma-phi=10; sigma-tau=8; sigma=12; sopfr=5,STRONG_CANDIDATE
H-CX-445-spectral-gap-tension-gap.md,38,9,2,1/e=0.368; J2-tau=20; ln(4/3)=0.288; n=6; phi^n=64; sigma-phi=10; sigma-sopfr=7; sigma-tau=8; sopfr=5,STRONG_CANDIDATE
H-CROSS-3-valence-ensemble.md,38,7,9,n=6; sigma+mu=13; sigma-mu=11; sigma-phi=10; sigma-tau=8; sigma=12; sopfr=5,STRONG_CANDIDATE
H-EE-12-optimal-ffn-expansion-ratio.md,38,7,7,1/(sigma-phi)=0.1; ln(4/3)=0.288; n=6; phi^n=64; sigma=12; sopfr=5; tau^2/sigma=4/3,STRONG_CANDIDATE
H-HAIR-101-rna-therapeutics.md,38,7,3,1/(sigma-phi)=0.1; J2=24; n=6; sigma*(sigma-phi)=120; sigma*n=72; sigma-sopfr=7; sopfr=5,STRONG_CANDIDATE
GAL-001-solvability-fractal-dims.md,38,6,13,J2=24; n=6; sigma*sopfr=60; sigma-phi=10; sigma=12; sopfr=5,STRONG_CANDIDATE
H-CHIP-1-tensor-core-12x12.md,38,5,6,n=6; sigma-tau=8; sigma=12; sigma^2=144; sopfr=5,STRONG_CANDIDATE
097-llm-internal.md,37,11,0,1/(sigma-phi)=0.1; 1/e=0.368; 16/27_Betz; J2-tau=20; ln(4/3)=0.288; n=6; phi/tau=0.5; phi^n=64; sigma-sopfr=7; sigma-tau=8; sopfr=5,STRONG_CANDIDATE
378-obang-ohaeng-tension.md,37,3,5,n=6; sigma=12; sopfr=5,MODERATE
H-EE-63-zipf-law.md,37,3,8,J2=24; n=6; sigma=12,MODERATE
MUSIC-095-forte-number-hexachords.md,37,3,7,n=6; sigma=12; sopfr=5,MODERATE
158-brainwave-temperature.md,36,11,0,1/(sigma-phi)=0.1; 1/e=0.368; 16/27_Betz; J2-tau=20; ln(4/3)=0.288; phi/tau=0.5; sigma+mu=13; sigma-phi=10; sigma-tau=8; sigma/sigma-phi=1.2; sopfr=5,STRONG_CANDIDATE
